path,filename,canvas_w,canvas_h,canvas_area,canvas_tiles_w,canvas_tiles_h,canvas_multiple_of_tile,visible_left,visible_top,visible_right_exclusive,visible_bottom_exclusive,visible_w,visible_h,visible_bbox_area,visible_tiles_w_ceil,visible_tiles_h_ceil,transparent_pixel_count,transparent_pixel_pct,bbox_empty_pct,margin_left,margin_top,margin_right,margin_bottom,max_margin_px,max_margin_tiles,parsed_dim_hint,parsed_frame_hint,suggested_trim_canvas_w,suggested_trim_canvas_h,suggested_trim_tiles_w,suggested_trim_tiles_h,issues,suspicious
sprites/operator/runtime/live_review/body/operator_body_melee_2h_block_exit.png,operator_body_melee_2h_block_exit.png,192,96,18432,6.0,3.0,True,29,18,163,85,134,67,8978,5,3,15876,0.8613,0.5129,29,18,29,11,29,0.906,,,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/weapon/ranged_2h/carbine_rifle_mk1_stance_raw1.png,carbine_rifle_mk1_stance_raw1.png,1024,1536,1572864,32.0,48.0,True,159,243,963,1208,804,965,775860,26,31,1255021,0.7979,0.5067,159,243,61,328,328,10.25,,,832,992,26,31,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
runtime/sundered_keep/props/prop_storage/prop_barrel_wet_01.png,prop_barrel_wet_01.png,32,64,2048,1.0,2.0,True,2,25,30,62,28,37,1036,1,2,1089,0.5317,0.4941,2,25,2,2,25,0.781,,,32,64,1,2,LARGE_BBOX_EMPTY_AREA,True
sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_recovery_01__n__2f__96.png,operator__body__unarmed__fast_recovery_01__n__2f__96.png,192,96,18432,6.0,3.0,True,25,18,165,85,140,67,9380,5,3,14822,0.8041,0.4911,25,18,27,11,27,0.844,,2f__96,160,96,5,3,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO,True
sprites/operator/runtime/curated/weapon/ranged_2h/carbine_rifle_mk1_stance_raw2.png,carbine_rifle_mk1_stance_raw2.png,1024,1536,1572864,32.0,48.0,True,159,241,980,1218,821,977,802117,26,31,1267430,0.8058,0.49,159,241,44,318,318,9.938,,,832,992,26,31,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
tiles/roads_paths/runtime/paths/pieces/road_straight_n_s_tiny_02.png,road_straight_n_s_tiny_02.png,64,128,8192,2.0,4.0,True,11,13,52,115,41,102,4182,2,4,4027,0.4916,0.4895,11,13,12,13,13,0.406,,,64,128,2,4,LARGE_BBOX_EMPTY_AREA,True
sprites/operator/runtime/curated/weapon/ranged_2h/carbine_rifle_mk1_stance_raw3.png,carbine_rifle_mk1_stance_raw3.png,1024,1536,1572864,32.0,48.0,True,159,241,981,1218,822,977,803094,26,31,1233717,0.7844,0.4894,159,241,43,318,318,9.938,,,832,992,26,31,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/curated/weapon/ranged_2h/carbine_rifle_mk1_stance_raw4.png,carbine_rifle_mk1_stance_raw4.png,1024,1536,1572864,32.0,48.0,True,159,241,981,1218,822,977,803094,26,31,1243427,0.7905,0.4894,159,241,43,318,318,9.938,,,832,992,26,31,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/body/ranged_2h/operator_body_ranged_2h_aim_raise.png,operator_body_ranged_2h_aim_raise.png,288,96,27648,9.0,3.0,True,31,20,256,83,225,63,14175,8,2,24219,0.876,0.4873,31,20,32,13,32,1.0,,,256,64,8,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
sprites/operator/runtime/animation_base/body/core_locomotion/run_southwest.png,run_southwest.png,1536,96,147456,48.0,3.0,True,39,20,1499,72,1460,52,75920,46,2,136160,0.9234,0.4851,39,20,37,24,39,1.219,,,1472,64,46,2,LARGE_BBOX_EMPTY_AREA;HIGH_TRANSPARENT_PIXEL_RATIO;LARGE_TRANSPARENT_MARGIN,True
