/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/blocking_hitreact_01/operator__modular_upper_body__unarmed__blocking_hitreact_01__e__5f__96.png | semantic=unarmed__blocking_hitreact_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/blocking_hitreact_01/operator__modular_lower_body__unarmed__blocking_hitreact_01__e__5f__96.png | semantic=unarmed__blocking_hitreact_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/blocking_hitreact_01/operator__modular_upper_body__unarmed__blocking_hitreact_01__w__5f__96.png | semantic=unarmed__blocking_hitreact_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/blocking_hitreact_01/operator__modular_lower_body__unarmed__blocking_hitreact_01__w__5f__96.png | semantic=unarmed__blocking_hitreact_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__full_body_combat__unarmed__bodyslam_knockdown_01__e__12f__96.png | semantic=unarmed__bodyslam_knockdown_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__full_body_combat__unarmed__bodyslam_knockdown_01__w__12f__96.png | semantic=unarmed__bodyslam_knockdown_01 | direction=w | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__critical_execution_01__e__12f__96.png | semantic=unarmed__critical_execution_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__critical_execution_01__s__8f__96.png | semantic=unarmed__critical_execution_01 | direction=s | layer=full | declared=96x96 | actual_frame=96x96 | frames=8
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__critical_execution_01__w__12f__96.png | semantic=unarmed__critical_execution_01 | direction=w | layer=full | declared=96x96 | actual_frame=96x96 | frames=12
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__dodge_fast_attack_01__e__11f__96.png | semantic=unarmed__dodge_fast_attack_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=11
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__dodge_fast_attack_01__w__11f__96.png | semantic=unarmed__dodge_fast_attack_01 | direction=w | layer=full | declared=96x96 | actual_frame=96x96 | frames=11
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/enter_block_01/operator__modular_lower_body__unarmed__enter_block_01__e__4f__96.png | semantic=unarmed__enter_block_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=4
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/enter_block_01/operator__modular_upper_body__unarmed__enter_block_01__e__5f__96.png | semantic=unarmed__enter_block_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/enter_block_01/operator__modular_lower_body__unarmed__enter_block_01__w__4f__96.png | semantic=unarmed__enter_block_01 | direction=w | layer=lower | declared=96x96 | actual_frame=96x96 | frames=4
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/enter_block_01/operator__modular_upper_body__unarmed__enter_block_01__w__5f__96.png | semantic=unarmed__enter_block_01 | direction=w | layer=upper | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__e__3f__96.png | semantic=unarmed__fast_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=3
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__e__5f__96.png | semantic=unarmed__fast_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__n__6f__96.png | semantic=unarmed__fast_01 | direction=n | layer=full | declared=96x96 | actual_frame=96x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__s__6f__96.png | semantic=unarmed__fast_01 | direction=s | layer=full | declared=96x96 | actual_frame=96x96 | frames=6
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_01__w__5f__96.png | semantic=unarmed__fast_01 | direction=w | layer=full | declared=96x96 | actual_frame=96x96 | frames=5
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/body/unarmed/operator__body__unarmed__fast_recovery_01__e__2f__96.png | semantic=unarmed__fast_recovery_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=2
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/unarmed/fast_attack/body/operator__body__unarmed__fast_recovery_01__e__3f__96.png | semantic=unarmed__fast_recovery_01 | direction=e | layer=full | declared=96x96 | actual_frame=96x96 | frames=3
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/fast_attack/fast_recovery_01/operator__modular_upper_body__unarmed__fast_recovery_01__e__3f__96.png | semantic=unarmed__fast_recovery_01 | direction=e | layer=upper | declared=96x96 | actual_frame=96x96 | frames=3
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/lower_body/actions/unarmed/fast_attack/fast_recovery_01/operator__modular_lower_body__unarmed__fast_recovery_01__e__3f__96.png | semantic=unarmed__fast_recovery_01 | direction=e | layer=lower | declared=96x96 | actual_frame=96x96 | frames=3
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/actions/unarmed/fast_attack/body/operator__body__unarmed__fast_recovery_01__ne__3f__96.png | semantic=unarmed__fast_recovery_01 | direction=ne | layer=full | declared=96x96 | actual_frame=96x96 | frames=3
/home//braydenchaffee/Projects/CUSTODIAN/custodian/content/sprites/operator/runtime/modules/new_operator/upper_body/actions/unarmed/fast_attack/fast_recovery_01/operator__modular_upper_body__unarmed__fast_recovery_01__ne__3f__96.png | semantic=unarmed__fast_recovery_01 | direction=ne | layer=upper | declared=96x96 | actual_frame=96x96 | frames=3
